# Fri Sep 25 15:09:38 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0706625 2 0 0.00849798 
3200 3 0.115807 3 0 0.0155134 
3300 3 0.147094 3 0 0.0209457 
3400 3 0.179084 3 0 0.0268008 
3500 3 0.226461 3 0 0.0363746 
3600 3 0.279875 3 0 0.0482937 
3700 3 0.331973 6 0 0.0610347 
3800 5 0.397233 6 0 0.0782229 
3900 4 0.468332 7 0 0.0987476 
4000 5 0.551836 12 0 0.126318 
4100 5 0.638272 9 0 0.159648 
4200 4 0.734141 10 0 0.204048 
4300 4 0.836211 11 0 0.262869 
4400 5 0.918251 7 9.23872e-06 0.323806 
4500 4 0.970292 10 0 0.382671 
4600 5 1.002 13 0 0.444718 
4700 5 1.01075 14 0 0.496623 
4800 5 1.01322 15 0 0.523421 
4900 4 1.01093 19 0 0.525706 
5000 5 1.01165 24 0 0.511465 
5100 6 1.01381 17 9.13909e-05 0.494875 
5200 5 1.01019 16 0 0.486201 
5300 7 1.01243 12 8.92915e-05 0.485383 
5400 5 1.01028 21 4.89141e-05 0.474271 
5500 5 1.01123 19 4.88424e-05 0.473967 
5600 5 1.00798 20 0 0.461993 
5700 6 1.00555 20 9.74232e-05 0.452043 
5800 5 0.998411 18 9.72526e-05 0.436567 
5900 5 1.00101 17 0 0.434116 
6000 5 0.995526 19 0 0.426767 
6100 5 0.990257 22 0 0.415901 
6200 5 0.982308 20 0 0.401859 
6300 7 0.980193 17 9.61862e-05 0.386609 
6400 4 0.967004 11 0 0.363473 
6500 5 0.953957 11 0 0.337834 
6600 7 0.945391 17 0.000184407 0.319394 
6700 4 0.920662 15 0 0.297647 
6800 6 0.904112 16 4.69616e-05 0.273316 
6900 6 0.879189 12 0.000138973 0.251494 
7000 6 0.858575 11 0.0002746 0.232265 
7100 6 0.832137 13 0.000226152 0.212086 
7200 6 0.820894 13 0.000356729 0.197851 
7300 4 0.820959 11 0.000219491 0.191133 
7400 5 0.820857 12 8.69263e-05 0.186935 
7500 5 0.800196 10 4.31798e-05 0.177642 
7600 5 0.784086 9 8.60956e-05 0.170814 
7700 6 0.763478 10 0.000343968 0.161536 
7800 8 0.775106 12 0.00153185 0.161185 
7900 7 0.771576 12 0.00237469 0.158214 
8000 8 0.774032 14 0.00396524 0.156711 
8100 9 0.790958 16 0.00718403 0.159886 
8200 8 0.80507 11 0.0108895 0.163385 
8300 8 0.822584 13 0.0135765 0.168124 
8400 7 0.890975 9 0.0191302 0.188605 
8500 7 0.90935 12 0.0216021 0.195238 
8600 7 0.920986 14 0.0262423 0.200544 
8700 8 0.924897 15 0.029585 0.202916 
8800 9 0.948008 14 0.0349735 0.212889 
8900 10 0.956799 14 0.0373539 0.217428 
9000 11 0.960339 22 0.0430891 0.224433 
9100 9 0.965782 22 0.048079 0.230314 
9200 8 1.02128 26 0.0613555 0.256893 
9300 10 1.04489 26 0.0721948 0.274106 
9400 12 1.08544 27 0.0811062 0.294289 
9500 13 1.11323 28 0.0924196 0.314279 
9600 9 1.11418 22 0.100936 0.325282 
9700 8 1.11086 20 0.109491 0.335293 
9800 9 1.11863 23 0.112564 0.339795 
9900 9 1.12273 25 0.119322 0.350294 
10000 12 1.08678 28 0.11728 0.337729 
10100 12 1.03764 29 0.11413 0.32165 
10200 10 0.977685 25 0.107094 0.297878 
10300 11 0.92399 24 0.101646 0.276081 
10400 11 0.872013 26 0.0906575 0.248105 
10500 12 0.838379 25 0.0854392 0.23364 
10600 11 0.811315 27 0.0814049 0.221 
10700 12 0.808841 26 0.0804817 0.216068 
10800 12 0.804281 27 0.0818869 0.213607 
10900 12 0.811066 29 0.0806921 0.209632 
11000 13 0.821312 33 0.0808055 0.206447 
11100 13 0.808455 31 0.0750934 0.194365 
11200 17 0.783717 33 0.0719849 0.185011 
11300 18 0.749942 29 0.065461 0.170401 
11400 17 0.701528 25 0.0602692 0.156615 
11500 15 0.661463 25 0.0561821 0.145292 
11600 13 0.656251 23 0.055184 0.143287 
11700 14 0.693352 22 0.0578879 0.150955 
11800 15 0.73838 25 0.0615474 0.161141 
11900 14 0.763819 24 0.0633542 0.165826 
12000 15 0.768142 26 0.0622885 0.164499 
12100 13 0.782801 23 0.0663623 0.170802 
12200 13 0.821507 27 0.0700057 0.180766 
12300 14 0.850633 29 0.0732789 0.189205 
12400 14 0.860968 30 0.0744934 0.19263 
12500 15 0.851908 27 0.0764507 0.193977 
12600 16 0.838565 24 0.0760057 0.191757 
12700 17 0.839542 27 0.0727484 0.188541 
12800 16 0.833436 26 0.0733262 0.189233 
12900 14 0.844914 24 0.0749153 0.193305 
13000 15 0.867422 24 0.0767982 0.200319 
13100 16 0.876637 25 0.0775806 0.203482 
13200 17 0.914512 26 0.0798934 0.212054 
13300 17 0.944686 24 0.0827401 0.21955 
13400 16 0.937803 25 0.0793841 0.214263 
13500 15 0.945282 25 0.0790616 0.215025 
13600 18 0.928429 28 0.0757727 0.207834 
13700 20 0.937758 28 0.0798171 0.212934 
13800 20 0.947797 27 0.0770155 0.211097 
13900 18 0.951502 27 0.0744135 0.208164 
14000 17 0.95268 27 0.0727594 0.205946 
14100 16 0.994767 24 0.0743186 0.213516 
14200 15 1.02861 26 0.079003 0.224206 
14300 15 1.03865 29 0.0824506 0.229856 
14400 15 1.03271 26 0.0858072 0.233081 
