-1 33 -1 9 9 8 8 -1 8 2 8 3 1 7 7 3 3 3 3 2 
1 1 33 -1 8 9 -1 8 -1 -1 2 8 2 7 7 7 3 3 4 1 
1 2 2 -1 -1 -1 -1 -1 8 -1 2 2 2 2 -1 1 1 3 -1 1 
3 3 2 2 1 -1 1 1 1 -1 2 3 3 -1 2 3 3 -1 2 2 
3 3 2 2 2 1 2 1 2 -1 3 3 3 -1 3 3 -1 -1 -1 2 
3 3 3 2 2 2 -1 8 2 2 -1 3 3 3 3 3 -1 -1 -1 2 
3 3 3 2 2 -1 8 -1 2 2 -1 2 33 3 3 9 -1 -1 -1 8 
3 2 2 1 1 9 -1 8 8 2 2 2 -1 -1 3 9 -1 3 3 8 
3 3 2 -1 -1 8 8 8 8 2 2 2 3 8 8 9 9 3 3 3 
-1 -1 -1 2 9 2 2 8 2 2 7 3 8 9 9 9 9 9 9 3 
8 -1 8 -1 -1 9 2 2 2 3 7 7 8 9 9 9 9 9 -1 1 
2 8 9 9 8 3 3 -1 3 3 7 -1 9 8 9 9 9 -1 8 8 
2 -1 33 9 3 8 2 2 2 2 2 7 3 2 -1 -1 -1 9 8 8 
8 -1 9 -1 9 9 -1 -1 -1 -1 7 2 3 3 1 3 8 8 -1 9 
9 9 9 8 8 7 7 -1 -1 7 7 7 2 3 3 1 9 37 2 8 
8 -1 8 -1 -1 40 8 -1 -1 3 7 2 3 3 1 1 -1 37 37 9 
9 8 -1 4 4 4 8 -1 -1 2 3 3 3 3 1 1 1 3 3 37 
3 9 3 8 4 4 4 8 -1 2 3 2 3 -1 1 1 -1 7 3 3 
3 3 3 -1 -1 4 -1 -1 8 2 2 3 3 -1 7 7 7 3 3 -1 
3 3 9 9 -1 -1 -1 8 8 2 -1 2 3 7 7 3 7 -1 3 -1 
2 -1 -1 2 2 -1 45 45 8 8 8 -1 -1 -1 -1 8 14 4 -1 2 
-1 -1 -1 9 2 2 45 45 8 7 8 -1 -1 4 -1 14 14 14 -1 -1 
2 33 8 2 8 8 -1 -1 -1 -1 8 -1 2 2 4 4 -1 40 2 40 
33 33 33 8 8 8 -1 -1 -1 -1 -1 -1 -1 2 2 2 40 2 33 33 
41 2 33 8 8 8 -1 10 10 4 -1 -1 2 -1 2 2 2 2 -1 -1 
2 33 8 33 8 10 5 -1 4 -1 4 -1 2 2 2 -1 3 -1 3 3 
33 8 -1 -1 2 10 5 10 -1 -1 4 2 -1 2 -1 3 3 3 3 4 
-1 -1 -1 2 2 -1 10 10 10 10 -1 -1 33 -1 2 3 3 3 3 5 
5 -1 2 2 -1 33 8 8 10 2 33 41 33 3 3 3 3 -1 3 5 
5 8 8 8 8 -1 8 10 2 2 33 33 3 3 -1 3 -1 5 5 5 
8 8 8 8 8 33 -1 8 33 33 33 -1 33 -1 37 37 7 7 7 8 
8 -1 8 8 33 33 8 8 -1 33 33 -1 -1 -1 37 37 7 39 39 8 
8 8 -1 -1 -1 33 8 8 8 -1 33 33 8 8 -1 -1 40 39 8 8 
8 -1 -1 -1 -1 -1 8 33 8 8 33 8 4 37 37 -1 1 40 8 8 
