# Sat Sep 12 18:25:50 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 1 
200 1 0 1 0 1 
300 1 0 1 0 1 
400 1 0 1 0 1 
500 1 0 1 0 1 
600 1 0 1 0 1 
700 3 0.0130837 5 0.000391097 1.00043 
800 3 0.00711866 5 0.000164835 1.00018 
900 4 0.0136675 8 0.000249266 1.00027 
1000 3 0.0140859 8 0.000425235 1.00046 
1100 6 0.0190829 12 0.000375143 1.00039 
1200 6 0.0329825 16 0.000896447 1.00093 
1300 6 0.0498365 19 0.00176142 1.00184 
1400 6 0.045358 20 0.00135044 1.00141 
1500 6 0.0493463 22 0.00133806 1.0014 
1600 7 0.0483102 24 0.00127344 1.00134 
1700 7 0.0530079 24 0.00133333 1.00139 
1800 7 0.052911 23 0.00135164 1.0014 
1900 8 0.0597219 29 0.00234342 1.00243 
2000 8 0.0606417 27 0.00238922 1.00248 
2100 8 0.0664117 31 0.00279135 1.0029 
2200 9 0.0616662 30 0.00270044 1.0028 
2300 9 0.0573557 35 0.00249745 1.00259 
2400 8 0.0603418 33 0.00296078 1.00308 
2500 8 0.0622696 30 0.0027862 1.00289 
2600 8 0.0695164 33 0.0033542 1.0035 
2700 8 0.0676371 36 0.00346639 1.00359 
2800 8 0.0718957 37 0.00394244 1.0041 
2900 8 0.0743869 39 0.00400723 1.00413 
3000 8 0.0764521 39 0.00405786 1.00416 
3100 9 0.0810055 38 0.0047355 1.00486 
3200 9 0.0927472 43 0.00558458 1.00573 
3300 9 0.10169 44 0.00617156 1.00634 
3400 10 0.106594 45 0.00665069 1.00685 
3500 8 0.105316 44 0.00688517 1.00707 
3600 8 0.109164 46 0.00771087 1.00791 
3700 8 0.115324 42 0.00808305 1.00831 
3800 8 0.122702 46 0.00808305 1.00832 
3900 8 0.134412 46 0.008763 1.00903 
4000 9 0.139943 46 0.00977138 1.01005 
4100 9 0.155537 47 0.0112586 1.01158 
4200 9 0.164996 51 0.0123662 1.01266 
4300 8 0.169918 49 0.013037 1.0134 
4400 8 0.192823 50 0.0150781 1.01552 
4500 8 0.191417 49 0.0151826 1.01556 
4600 7 0.20539 49 0.0161893 1.01661 
4700 8 0.208999 52 0.0157402 1.01615 
4800 8 0.211893 50 0.015469 1.01586 
4900 8 0.214408 47 0.0151306 1.01551 
5000 9 0.207882 47 0.0137718 1.01419 
5100 9 0.204412 48 0.0118604 1.01225 
5200 9 0.202234 53 0.0106236 1.01098 
5300 9 0.208416 49 0.0100422 1.01039 
5400 9 0.216821 48 0.00968908 1.01007 
5500 9 0.247636 52 0.0106524 1.01104 
5600 9 0.274661 49 0.0112859 1.01166 
5700 9 0.321041 50 0.0130115 1.01336 
5800 9 0.370505 48 0.0148298 1.01523 
5900 9 0.417086 44 0.0169172 1.0174 
6000 9 0.469983 49 0.0177154 1.01815 
6100 9 0.524586 46 0.0198802 1.02034 
6200 10 0.592258 48 0.0232425 1.02376 
6300 9 0.643342 51 0.0245311 1.02503 
6400 10 0.706595 49 0.0278619 1.02844 
6500 10 0.762993 51 0.0293137 1.02985 
6600 10 0.858442 53 0.0333122 1.03396 
6700 10 0.929446 51 0.0354674 1.03618 
6800 9 1.01606 49 0.0376869 1.03849 
6900 9 1.09951 49 0.0394619 1.04026 
7000 9 1.16903 55 0.0401048 1.04091 
7100 8 1.23617 53 0.042492 1.04341 
7200 8 1.30802 57 0.0440713 1.04507 
7300 8 1.37565 59 0.0439177 1.04502 
7400 9 1.42125 63 0.0407197 1.0417 
7500 9 1.47374 60 0.0396018 1.04063 
7600 9 1.55166 64 0.0391414 1.04021 
7700 9 1.62568 65 0.040698 1.04201 
7800 10 1.68833 68 0.0381492 1.03936 
7900 10 1.75268 72 0.0393706 1.04068 
8000 10 1.81297 74 0.042183 1.04361 
8100 11 1.85984 81 0.0438867 1.04551 
8200 12 1.89454 86 0.0436154 1.04515 
8300 11 1.93883 88 0.045887 1.04752 
8400 12 1.97862 87 0.0484827 1.05021 
8500 13 2.02035 91 0.0515176 1.05331 
8600 13 2.04979 90 0.052225 1.05402 
8700 14 2.0782 98 0.0556315 1.05761 
8800 13 2.09164 103 0.0573968 1.05941 
8900 14 2.10635 105 0.0591173 1.06118 
9000 14 2.12599 110 0.0614653 1.06355 
9100 14 2.14304 117 0.0645127 1.0667 
9200 13 2.15344 113 0.0643575 1.06649 
9300 13 2.16942 116 0.0663393 1.0684 
9400 13 2.17638 112 0.0655634 1.06759 
9500 13 2.2042 111 0.0703478 1.07262 
9600 13 2.22476 114 0.0743905 1.0768 
9700 14 2.24068 123 0.0765849 1.07906 
9800 15 2.24819 119 0.0781343 1.08077 
9900 14 2.24686 117 0.075307 1.07791 
10000 13 2.24324 120 0.0720225 1.07451 
10100 13 2.25639 120 0.0732502 1.07583 
10200 12 2.2617 116 0.0738355 1.07645 
10300 13 2.26537 116 0.0734315 1.07599 
10400 12 2.27325 131 0.0737331 1.07647 
10500 13 2.27602 132 0.0740844 1.07667 
10600 14 2.27071 135 0.0722055 1.07464 
10700 13 2.27931 137 0.0745795 1.07704 
10800 14 2.30342 136 0.0796478 1.08242 
10900 14 2.31051 141 0.0811616 1.0839 
11000 14 2.32247 147 0.0845652 1.08738 
11100 15 2.33027 147 0.0852025 1.08806 
11200 15 2.33053 149 0.0856912 1.08847 
11300 15 2.34137 143 0.0888288 1.09157 
11400 15 2.36449 145 0.0924328 1.09538 
11500 15 2.36251 146 0.0917229 1.09471 
11600 15 2.376 163 0.0950996 1.09804 
11700 14 2.3831 170 0.0983684 1.10137 
11800 14 2.39163 160 0.0999416 1.10307 
11900 14 2.39942 164 0.101161 1.10438 
12000 14 2.40915 159 0.103415 1.10646 
12100 15 2.42646 161 0.107624 1.11108 
12200 15 2.44278 173 0.112511 1.11635 
12300 15 2.44983 174 0.114332 1.11814 
12400 17 2.45929 187 0.116824 1.12082 
