# Sat Sep 12 18:25:50 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

14300 7 0.531702 13 0.0281004 0.114879 
14400 8 0.553047 15 0.0297794 0.120067 
14500 8 0.546808 22 0.0290723 0.117438 
14600 8 0.537819 14 0.030903 0.116299 
14700 9 0.545288 15 0.0315855 0.117263 
14800 10 0.551299 18 0.034724 0.120682 
14900 10 0.580017 16 0.038019 0.129303 
15000 9 0.586136 13 0.0376697 0.130838 
15100 9 0.627188 15 0.0422617 0.143597 
15200 9 0.69293 18 0.0502961 0.163138 
15300 12 0.768016 26 0.0581479 0.184354 
15400 13 0.781836 25 0.059087 0.186788 
15500 13 0.757101 22 0.0547998 0.178185 
15600 14 0.689402 19 0.0461504 0.155493 
15700 12 0.64523 17 0.0407095 0.13969 
15800 12 0.633634 19 0.0381555 0.132917 
15900 12 0.616558 19 0.0369892 0.127411 
16000 14 0.636576 26 0.0379867 0.128748 
16100 14 0.661329 25 0.0402086 0.13515 
16200 12 0.716277 28 0.0452002 0.149782 
16300 12 0.78522 29 0.0507677 0.167537 
16400 12 0.864013 27 0.0591215 0.189281 
16500 12 0.930245 22 0.0649248 0.206992 
16600 12 0.972002 21 0.0688889 0.218397 
16700 12 0.978078 26 0.0698128 0.217705 
16800 13 0.963151 27 0.0707151 0.214523 
16900 13 0.920303 24 0.0704516 0.204617 
17000 12 0.901273 25 0.0700732 0.199289 
17100 13 0.878684 29 0.0663575 0.190072 
17200 13 0.892142 32 0.0673528 0.191902 
17300 13 0.91298 32 0.0685657 0.195601 
17400 14 0.895656 30 0.066068 0.189673 
17500 13 0.866015 25 0.062246 0.181864 
17600 14 0.881055 31 0.0639695 0.187018 
17700 14 0.893247 37 0.0637992 0.189853 
17800 14 0.923842 35 0.0666013 0.199044 
17900 15 0.893128 30 0.0653676 0.193317 
18000 13 0.872458 34 0.0641972 0.188564 
18100 12 0.861084 34 0.0670425 0.190304 
18200 12 0.87965 37 0.070247 0.19836 
18300 12 0.867747 33 0.0672232 0.194473 
18400 12 0.869993 37 0.0642654 0.192756 
18500 13 0.844634 32 0.0583479 0.18232 
18600 13 0.853327 26 0.055051 0.183591 
18700 14 0.835376 23 0.0500991 0.177804 
18800 13 0.833708 28 0.0469962 0.176087 
18900 12 0.832602 27 0.0437412 0.174175 
19000 11 0.801615 23 0.0414833 0.168145 
19100 11 0.776698 25 0.0369114 0.161089 
19200 11 0.771496 29 0.03456 0.15867 
19300 11 0.790841 28 0.0361164 0.16484 
19400 12 0.791204 27 0.038291 0.164472 
19500 11 0.776923 31 0.0380226 0.159759 
19600 11 0.765894 28 0.0379655 0.1553 
19700 12 0.75654 28 0.038055 0.151646 
19800 13 0.766217 27 0.0380481 0.152516 
19900 12 0.771511 31 0.0390354 0.154343 
20000 13 0.771329 28 0.0400246 0.153843 
20100 13 0.724729 23 0.0370989 0.142364 
20200 12 0.687062 24 0.0341594 0.132598 
20300 12 0.68952 21 0.0356528 0.133075 
20400 12 0.703565 21 0.0360805 0.135657 
20500 12 0.704012 24 0.0374273 0.136421 
20600 12 0.681671 26 0.0364452 0.132446 
20700 14 0.701019 27 0.0391391 0.137762 
20800 14 0.709809 22 0.0399322 0.140292 
20900 14 0.728457 26 0.0411099 0.145592 
21000 13 0.713323 29 0.0364252 0.139785 
21100 13 0.706654 29 0.0352694 0.137931 
21200 14 0.700777 29 0.0355245 0.137362 
21300 13 0.728238 28 0.0384642 0.145775 
21400 13 0.762855 23 0.0421222 0.155597 
21500 13 0.799457 24 0.0448552 0.166627 
21600 13 0.815731 26 0.0476947 0.173558 
21700 14 0.826181 22 0.0463834 0.174353 
21800 15 0.811348 26 0.0432732 0.169266 
21900 15 0.780166 27 0.0395202 0.158992 
22000 16 0.758359 29 0.0393702 0.153715 
22100 15 0.746222 25 0.0396859 0.149784 
22200 16 0.749122 26 0.0414952 0.149716 
22300 15 0.730154 23 0.0412602 0.145011 
22400 15 0.725617 24 0.0408939 0.143996 
22500 13 0.700119 23 0.0384125 0.136937 
22600 13 0.689608 19 0.0386386 0.135402 
22700 14 0.701816 22 0.0403973 0.138666 
22800 14 0.761989 23 0.0459695 0.153985 
22900 14 0.775394 23 0.0472899 0.157919 
23000 16 0.791799 27 0.048961 0.162727 
23100 15 0.756262 25 0.0445918 0.152369 
23200 15 0.748864 26 0.0419758 0.147989 
23300 14 0.717032 24 0.0388987 0.138257 
23400 14 0.693888 23 0.0373611 0.131839 
23500 15 0.693689 25 0.0384882 0.132169 
23600 14 0.673526 24 0.0372292 0.127003 
23700 14 0.699634 23 0.0418864 0.134439 
23800 14 0.734197 23 0.045078 0.142511 
23900 14 0.761198 23 0.0453187 0.147646 
24000 15 0.750697 29 0.0426259 0.143748 
24100 14 0.75099 28 0.0427402 0.144881 
24200 14 0.719145 27 0.0419118 0.139312 
24300 16 0.707402 28 0.0409764 0.137246 
24400 16 0.669905 33 0.0390131 0.13016 
24500 15 0.660751 30 0.0380734 0.127949 
24600 16 0.648033 27 0.0390135 0.126366 
24700 15 0.637614 28 0.0395924 0.126099 
24800 15 0.627189 27 0.0409999 0.126103 
24900 16 0.646833 30 0.0437602 0.132143 
25000 16 0.653634 32 0.0469092 0.136265 
25100 16 0.675815 37 0.0527702 0.146318 
25200 17 0.680828 35 0.0529008 0.147139 
25300 17 0.677238 29 0.0535501 0.147662 
25400 19 0.681928 32 0.0536673 0.147609 
25500 19 0.706145 29 0.0552625 0.152535 
25600 18 0.728646 34 0.0557322 0.15703 
25700 17 0.763151 37 0.0575233 0.164424 
25800 15 0.808375 33 0.0626372 0.177519 
25900 15 0.829494 30 0.0669432 0.18545 
26000 17 0.848817 31 0.0706834 0.192707 
26100 17 0.876796 29 0.0748228 0.201668 
26200 18 0.871903 27 0.0739469 0.199461 
26300 19 0.863687 29 0.0746774 0.199103 
26400 18 0.846774 32 0.0690491 0.190345 
26500 19 0.833995 29 0.0671662 0.185804 
26600 19 0.832392 31 0.0673032 0.185437 
26700 19 0.849369 28 0.0702748 0.190847 
26800 20 0.856051 29 0.0728621 0.193089 
26900 19 0.858766 29 0.0759124 0.195425 
27000 18 0.85658 29 0.07667 0.19466 
27100 18 0.839347 33 0.0748586 0.18889 
27200 18 0.846885 33 0.0762853 0.191558 
27300 18 0.838805 36 0.0753521 0.189772 
27400 18 0.854359 33 0.0772832 0.195169 
27500 18 0.865958 34 0.0794712 0.200297 
27600 18 0.899774 32 0.0853531 0.213162 
27700 19 0.902502 37 0.0861767 0.215043 
27800 18 0.918263 29 0.0882232 0.220802 
27900 18 0.925277 32 0.0879368 0.221803 
28000 19 0.957924 36 0.093159 0.234052 
28100 20 0.933572 34 0.0916457 0.226987 
28200 19 0.901924 33 0.0874844 0.215837 
28300 18 0.881756 33 0.0838519 0.208655 
28400 17 0.847842 35 0.0758234 0.193893 
28500 17 0.82421 31 0.0690627 0.18143 
28600 17 0.832711 30 0.0674545 0.17934 
28700 16 0.850648 32 0.0691948 0.183826 
28800 16 0.874178 33 0.0720909 0.190595 
28900 17 0.940673 31 0.0776615 0.206882 
29000 19 0.997609 31 0.0823729 0.221553 
29100 17 1.01174 28 0.0859458 0.228683 
29200 18 1.02505 27 0.0920398 0.236942 
29300 19 1.02823 31 0.0948013 0.239855 
29400 19 1.05951 32 0.102732 0.25474 
29500 18 1.06974 31 0.109789 0.266066 
29600 20 1.08056 34 0.115161 0.273833 
29700 19 1.0811 33 0.119226 0.278622 
29800 19 1.08206 36 0.118482 0.278267 
29900 20 1.08638 37 0.116968 0.277646 
30000 20 1.06891 43 0.110534 0.267964 
30100 20 1.03405 46 0.0984559 0.247719 
30200 19 1.01213 46 0.09256 0.237171 
30300 20 1.03072 41 0.0960111 0.242972 
30400 20 1.01645 39 0.0986125 0.243482 
30500 21 1.02136 39 0.103145 0.248623 
30600 21 1.06251 44 0.112015 0.265643 
30700 21 1.13944 45 0.129714 0.297459 
30800 21 1.18446 48 0.138613 0.313111 
30900 23 1.21708 55 0.149682 0.329458 
31000 24 1.26946 48 0.159306 0.347581 
31100 23 1.30881 46 0.165863 0.360587 
31200 24 1.35351 50 0.173897 0.377204 
31300 22 1.37825 52 0.1805 0.38894 
31400 24 1.38228 54 0.179587 0.387256 
31500 25 1.35185 52 0.17749 0.38064 
31600 24 1.32368 50 0.173643 0.372294 
31700 20 1.31543 45 0.170713 0.367505 
31800 23 1.34534 46 0.173595 0.37524 
31900 24 1.34123 41 0.173753 0.375542 
32000 23 1.31007 40 0.168137 0.364745 
32100 21 1.24214 38 0.155155 0.338425 
32200 22 1.21227 42 0.149306 0.326545 
32300 22 1.20179 39 0.14748 0.322517 
32400 22 1.1552 38 0.141281 0.307298 
32500 23 1.14204 39 0.138849 0.301788 
32600 24 1.12374 45 0.138099 0.298717 
32700 25 1.09539 52 0.133269 0.288725 
32800 25 1.05208 53 0.128947 0.277907 
32900 21 1.03381 43 0.125091 0.271216 
33000 22 1.04342 43 0.125485 0.272766 
33100 23 1.06764 41 0.127123 0.276756 
33200 24 1.10014 43 0.130089 0.284386 
33300 23 1.07285 43 0.125649 0.275176 
33400 22 1.11838 38 0.133434 0.291979 
33500 22 1.12189 37 0.136501 0.297267 
33600 22 1.12636 41 0.137613 0.300025 
33700 21 1.13902 41 0.141436 0.305794 
33800 22 1.16905 40 0.147281 0.315715 
33900 23 1.25361 42 0.159621 0.340497 
34000 24 1.29896 41 0.166244 0.354477 
34100 23 1.34263 43 0.175088 0.372532 
34200 25 1.36196 46 0.181528 0.384487 
34300 24 1.36499 50 0.183193 0.387628 
34400 25 1.39288 48 0.188926 0.399481 
34500 23 1.45159 51 0.196345 0.416797 
34600 24 1.50676 52 0.205183 0.435772 
34700 24 1.53742 51 0.21277 0.45092 
34800 23 1.52597 47 0.215724 0.455223 
34900 23 1.52401 48 0.218161 0.460625 
35000 25 1.51493 47 0.215478 0.455283 
35100 24 1.57353 45 0.229315 0.481994 
35200 27 1.64929 50 0.247845 0.515918 
35300 25 1.73403 47 0.264842 0.548984 
35400 23 1.77166 53 0.274204 0.566868 
35500 22 1.81054 60 0.277579 0.575437 
35600 22 1.79965 58 0.270642 0.562818 
35700 22 1.8549 53 0.280766 0.583091 
35800 22 1.87724 54 0.284973 0.592175 
35900 23 1.92505 61 0.293898 0.611561 
36000 23 1.92326 55 0.290621 0.607715 
36100 23 1.93254 58 0.290752 0.610364 
36200 22 1.87587 58 0.283147 0.59264 
36300 24 1.84689 59 0.278652 0.581652 
36400 23 1.80044 58 0.274062 0.57116 
36500 24 1.77939 58 0.268519 0.560093 
36600 24 1.72139 51 0.254043 0.532393 
36700 24 1.67873 50 0.246249 0.515039 
36800 25 1.67242 51 0.254354 0.526216 
36900 24 1.714 56 0.266236 0.547578 
37000 23 1.73953 63 0.268313 0.55277 
37100 24 1.76627 67 0.270633 0.557813 
37200 25 1.77532 68 0.271245 0.559772 
37300 22 1.76172 65 0.269123 0.554601 
37400 24 1.75426 66 0.268017 0.553233 
37500 24 1.72543 57 0.271572 0.556171 
37600 24 1.64536 57 0.257384 0.525895 
37700 23 1.60592 51 0.253469 0.515306 
37800 25 1.59643 53 0.249852 0.508468 
37900 25 1.54821 50 0.240298 0.48913 
38000 25 1.5033 59 0.229634 0.467948 
38100 24 1.4609 57 0.219376 0.448294 
38200 25 1.46804 60 0.217481 0.447607 
38300 26 1.44179 54 0.210144 0.43373 
38400 25 1.44085 54 0.210177 0.433991 
38500 27 1.41388 50 0.210231 0.430971 
38600 27 1.41498 55 0.21376 0.437093 
38700 24 1.43062 50 0.21966 0.447868 
38800 24 1.42969 47 0.218595 0.447172 
38900 23 1.43277 45 0.223866 0.45492 
39000 23 1.38191 50 0.215068 0.437447 
39100 23 1.3574 43 0.208222 0.424505 
39200 25 1.355 47 0.205528 0.420054 
39300 26 1.37254 49 0.204592 0.420794 
39400 24 1.38888 54 0.20838 0.428859 
39500 24 1.42252 57 0.212178 0.437956 
39600 25 1.44446 58 0.217464 0.447733 
39700 25 1.37548 49 0.204812 0.421832 
39800 22 1.31857 47 0.192638 0.398099 
39900 22 1.27528 45 0.182955 0.380402 
