# Sat Sep 12 18:25:53 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

13000 14 2.4213 167 0.0669333 1.06892 
13100 15 2.43763 163 0.0694748 1.07148 
13200 16 2.45792 172 0.0733286 1.07547 
13300 15 2.46744 171 0.0753812 1.07768 
13400 15 2.47699 174 0.0770762 1.07952 
13500 15 2.48936 172 0.0786311 1.08118 
13600 15 2.50116 177 0.08031 1.08302 
13700 15 2.51291 176 0.0830018 1.08558 
13800 15 2.51772 185 0.0835182 1.08628 
13900 15 2.53023 185 0.0858914 1.0887 
14000 16 2.54616 190 0.0890845 1.09235 
14100 16 2.56926 193 0.0935463 1.09695 
14200 16 2.57442 192 0.0921872 1.09546 
14300 17 2.58049 193 0.0934143 1.09685 
14400 17 2.58144 196 0.0915422 1.09483 
14500 16 2.59383 199 0.0932223 1.09692 
14600 16 2.59867 200 0.0927068 1.09663 
14700 17 2.60538 206 0.0934819 1.09746 
14800 17 2.60883 205 0.0931582 1.09742 
14900 18 2.61455 207 0.0929487 1.09727 
15000 17 2.62148 206 0.0904688 1.09491 
15100 17 2.6271 191 0.0906034 1.09521 
15200 18 2.63607 203 0.0913034 1.096 
15300 18 2.6366 204 0.0903734 1.09507 
15400 19 2.65187 207 0.0912147 1.09627 
15500 19 2.65858 218 0.0888533 1.09377 
15600 20 2.65039 210 0.0858403 1.09064 
15700 20 2.64686 211 0.0838897 1.08832 
15800 20 2.64469 216 0.0813589 1.08564 
15900 18 2.63912 214 0.0802394 1.08432 
16000 18 2.63673 220 0.0783011 1.08232 
16100 18 2.647 218 0.0793967 1.08347 
16200 18 2.65402 212 0.0799501 1.08403 
16300 18 2.66875 215 0.079908 1.08394 
16400 19 2.70132 215 0.0851217 1.08964 
16500 19 2.71351 221 0.0861289 1.09089 
16600 19 2.71668 219 0.0843666 1.08887 
16700 20 2.73774 226 0.0863274 1.09095 
16800 21 2.75783 231 0.0873744 1.09205 
16900 21 2.77711 235 0.0886295 1.09315 
17000 21 2.79983 227 0.089719 1.09434 
17100 22 2.8346 233 0.0918118 1.09672 
17200 22 2.84914 231 0.0927784 1.09783 
