# Wed Aug 26 16:21:26 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0732033 2 0 0.00886972 
3200 2 0.133094 2 0 0.0185281 
3300 2 0.191168 2 0 0.0293591 
3400 2 0.247397 2 0 0.0411185 
3500 2 0.332053 2 0 0.0611651 
3600 2 0.414651 2 0 0.0835745 
3700 2 0.477734 2 0 0.102776 
3800 2 0.54683 2 0 0.126167 
3900 2 0.5901 2 0 0.142249 
4000 2 0.611185 2 0 0.150538 
4100 2 0.643693 2 0 0.163957 
4200 2 0.688846 2 0 0.184045 
4300 2 0.726926 2 0 0.202513 
4400 2 0.761435 2 0 0.220695 
4500 2 0.813364 2 0 0.25132 
4600 2 0.880131 2 0 0.299054 
4700 2 0.937176 2 0 0.353524 
4800 2 0.971226 2 0 0.400472 
4900 2 0.988246 2 0 0.436263 
5000 2 0.996407 2 0 0.464728 
5100 2 0.995776 2 0 0.461758 
5200 2 0.992671 2 0 0.449644 
5300 2 0.990755 2 0 0.443456 
5400 2 0.997363 2 0 0.469778 
5500 2 0.997324 2 0 0.530445 
5600 2 0.969337 2 0 0.602721 
5700 2 0.924007 2 0 0.660846 
5800 2 0.898092 2 0 0.685684 
5900 2 0.895925 2 0 0.6876 
6000 2 0.899241 2 0 0.684661 
6100 2 0.908322 2 0 0.676336 
6200 2 0.891773 2 0 0.691209 
6300 2 0.878418 2 0 0.702335 
6400 2 0.872714 2 0 0.706883 
6500 2 0.877379 2 0 0.703172 
6600 2 0.878653 2 0 0.702145 
6700 2 0.86575 2 0 0.712286 
6800 2 0.869507 2 0 0.709391 
6900 2 0.876014 2 0 0.704266 
7000 2 0.872138 2 0 0.707336 
7100 2 0.852493 2 0 0.722159 
7200 2 0.845002 2 0 0.727519 
7300 2 0.851276 2 0 0.72304 
7400 2 0.863002 2 0 0.714375 
7500 2 0.862798 2 0 0.71453 
7600 2 0.868085 2 0 0.710492 
7700 2 0.860253 2 0 0.716442 
7800 2 0.850727 2 0 0.723436 
7900 2 0.854648 2 0 0.720588 
8000 2 0.86119 2 0 0.71574 
8100 2 0.872019 2 0 0.707429 
8200 2 0.880563 2 0 0.700594 
8300 2 0.877997 2 0 0.702674 
8400 2 0.8803 2 0 0.700809 
8500 2 0.868057 2 0 0.710514 
8600 2 0.867882 2 0 0.710648 
8700 2 0.871633 2 0 0.707732 
8800 2 0.873884 2 0 0.705959 
8900 2 0.874061 2 0 0.705819 
9000 2 0.871896 2 0 0.707526 
9100 2 0.87747 2 0 0.703098 
9200 2 0.885899 2 0 0.696189 
9300 2 0.893639 2 0 0.689596 
9400 2 0.897798 2 0 0.685946 
9500 2 0.879961 2 0 0.701085 
9600 2 0.882479 2 0 0.699025 
9700 2 0.897654 2 0 0.686074 
9800 2 0.911988 2 0 0.67285 
9900 2 0.909798 2 0 0.674941 
10000 2 0.908263 2 0 0.676391 
10100 2 0.90685 2 0 0.677714 
10200 2 0.891762 2 0 0.691219 
10300 2 0.887162 2 0 0.69513 
10400 2 0.886655 2 0 0.695557 
10500 2 0.898369 2 0 0.685439 
10600 2 0.899709 2 0 0.684242 
10700 2 0.908662 2 0 0.676016 
10800 2 0.914808 2 0 0.670116 
10900 2 0.926017 2 0 0.658743 
11000 2 0.928428 2 0 0.656179 
11100 2 0.926284 2 0 0.658461 
11200 2 0.919419 2 0 0.665539 
11300 2 0.903663 2 0 0.680659 
11400 2 0.896514 2 0 0.687081 
11500 2 0.893922 2 0 0.68935 
11600 2 0.890005 2 0 0.692723 
11700 2 0.897464 2 0 0.686242 
11800 2 0.90453 2 0 0.679864 
11900 2 0.910508 2 0 0.674266 
12000 2 0.91534 2 0 0.669594 
12100 2 0.929834 2 0 0.654664 
12200 2 0.928683 2 0 0.655905 
12300 2 0.928618 2 0 0.655975 
12400 2 0.931989 2 0 0.652309 
12500 2 0.926715 2 0 0.658005 
12600 2 0.923097 2 0 0.661789 
12700 2 0.923991 2 0 0.660862 
12800 2 0.920185 2 0 0.664765 
12900 2 0.91823 2 0 0.666732 
13000 2 0.916244 2 0 0.668705 
13100 2 0.92339 2 0 0.661486 
13200 2 0.930072 2 0 0.654406 
13300 2 0.939163 2 0 0.644175 
13400 2 0.940584 2 0 0.642505 
13500 2 0.927372 2 0 0.657307 
13600 2 0.91799 2 0 0.666972 
13700 2 0.910912 2 0 0.673881 
13800 2 0.910994 2 0 0.673802 
13900 2 0.916391 2 0 0.668559 
14000 2 0.933928 2 0 0.650157 
14100 2 0.936281 2 0 0.6475 
14200 2 0.927844 2 0 0.656804 
14300 2 0.923452 2 0 0.661422 
14400 2 0.92669 2 0 0.658031 
14500 2 0.928199 2 0 0.656424 
14600 2 0.924834 2 0 0.659984 
14700 2 0.924455 2 0 0.66038 
14800 2 0.92668 2 0 0.658042 
14900 2 0.93325 2 0 0.650913 
15000 2 0.927938 2 0 0.656704 
15100 2 0.922616 2 0 0.662284 
15200 2 0.91895 2 0 0.666011 
15300 2 0.917798 2 0 0.667164 
15400 2 0.931614 2 0 0.652721 
15500 2 0.937091 2 0 0.646573 
15600 2 0.941077 2 0 0.641921 
15700 2 0.934878 2 0 0.64909 
15800 2 0.931865 2 0 0.652446 
15900 2 0.92674 2 0 0.657978 
16000 2 0.926923 2 0 0.657785 
16100 2 0.924533 2 0 0.660298 
16200 2 0.920807 2 0 0.664135 
