# Avida Dominant Parasite Data
# Wed Aug 26 16:26:45 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 253 
3200 503 
3300 794 
3400 1107 
3500 1552 
3600 2054 
3700 2662 
3800 3510 
3900 4485 
4000 5689 
4100 7417 
4200 9204 
4300 10356 
4400 11166 
4500 11371 
4600 11122 
4700 10370 
4800 9818 
4900 9551 
5000 9645 
5100 9598 
5200 9457 
5300 9453 
5400 9144 
5500 8815 
5600 8354 
5700 7993 
5800 7514 
5900 7149 
6000 6766 
6100 6316 
6200 5938 
6300 5886 
6400 5733 
6500 5608 
6600 5400 
6700 5201 
6800 5179 
6900 5299 
7000 5323 
7100 5209 
7200 5286 
7300 5174 
7400 5143 
7500 5111 
7600 5130 
7700 5148 
7800 5134 
7900 5151 
8000 4989 
8100 4707 
8200 4632 
8300 4489 
8400 4449 
8500 4279 
8600 4256 
8700 4197 
8800 4241 
8900 4161 
9000 4115 
9100 3973 
9200 4045 
9300 4203 
9400 4184 
9500 4187 
9600 4132 
9700 4181 
9800 4149 
9900 4140 
10000 4288 
10100 4366 
10200 4350 
10300 4272 
10400 4236 
10500 4126 
10600 4012 
10700 3927 
10800 3805 
10900 3874 
11000 3956 
11100 3913 
11200 3989 
11300 4044 
11400 4137 
11500 4112 
11600 4116 
11700 4156 
11800 4114 
11900 4064 
12000 3983 
12100 3929 
12200 3738 
12300 3652 
12400 3523 
12500 3484 
12600 3437 
12700 3524 
12800 3572 
12900 3624 
13000 3668 
13100 3712 
13200 3661 
13300 3598 
13400 3516 
13500 3401 
13600 3315 
13700 3501 
13800 3592 
13900 3663 
14000 3614 
14100 3571 
14200 3500 
14300 3385 
14400 3379 
14500 3346 
14600 3339 
14700 3479 
14800 3540 
14900 3599 
15000 3684 
15100 3787 
15200 3755 
15300 3790 
15400 3861 
15500 3899 
15600 3815 
15700 3874 
15800 3980 
15900 4242 
16000 4344 
16100 4409 
16200 4346 
16300 4462 
16400 4709 
16500 4885 
16600 5063 
16700 5153 
16800 5263 
16900 5216 
17000 5159 
17100 5211 
17200 5213 
17300 5266 
17400 5190 
17500 4991 
17600 4922 
17700 4983 
17800 4917 
17900 4755 
18000 4513 
18100 4619 
18200 4752 
18300 5014 
18400 4919 
18500 4887 
18600 4753 
18700 4568 
18800 4555 
18900 4432 
19000 4281 
19100 4147 
19200 3956 
19300 3895 
19400 3737 
19500 3953 
19600 3845 
19700 3640 
19800 3731 
19900 3660 
20000 3566 
20100 3540 
20200 3445 
20300 3294 
20400 3213 
20500 3218 
20600 3349 
20700 3371 
20800 3305 
20900 3310 
21000 3184 
21100 3202 
21200 3093 
21300 2974 
21400 2937 
21500 2773 
21600 2815 
21700 2893 
21800 2920 
21900 2828 
22000 2788 
22100 2743 
22200 2384 
22300 2146 
22400 2000 
22500 2050 
22600 2173 
22700 2342 
22800 2577 
22900 3053 
23000 3770 
23100 4734 
23200 5689 
23300 6257 
23400 6275 
23500 6106 
23600 5855 
23700 5510 
23800 5533 
23900 5765 
24000 6095 
24100 6430 
24200 6485 
24300 6545 
24400 6569 
24500 6640 
24600 6765 
24700 6653 
24800 6662 
24900 6673 
25000 6592 
25100 6359 
25200 6278 
25300 6583 
25400 6901 
25500 7029 
25600 6909 
25700 7027 
25800 7215 
25900 7241 
26000 7261 
26100 7285 
26200 7174 
26300 7104 
26400 7298 
26500 7341 
26600 7505 
26700 7464 
26800 7605 
26900 7677 
27000 7822 
27100 7820 
27200 7627 
27300 7232 
27400 7146 
27500 7236 
27600 7474 
27700 7566 
27800 7500 
27900 7383 
28000 7115 
28100 7080 
28200 6985 
28300 7019 
28400 6981 
28500 6873 
28600 6672 
28700 6589 
28800 6508 
28900 6437 
29000 6397 
29100 6176 
29200 5987 
29300 5906 
29400 5804 
29500 5588 
29600 5349 
29700 5276 
29800 5049 
29900 4870 
30000 4692 
30100 4694 
30200 4831 
30300 4800 
30400 4673 
30500 4479 
30600 4325 
30700 4146 
30800 4045 
30900 3814 
31000 3649 
31100 3440 
31200 3324 
31300 3178 
31400 3214 
31500 3177 
31600 3132 
31700 2936 
31800 3031 
31900 2976 
32000 3081 
32100 2932 
32200 2815 
32300 2670 
32400 2672 
32500 2794 
32600 2911 
32700 3127 
32800 3219 
32900 3340 
33000 3458 
33100 3506 
33200 3598 
33300 3701 
33400 3926 
33500 4089 
33600 4213 
33700 4043 
33800 4039 
33900 4002 
34000 4033 
34100 4124 
34200 4174 
34300 4291 
34400 4376 
34500 4669 
34600 4882 
34700 4921 
34800 4671 
34900 4368 
35000 4156 
35100 4066 
35200 4132 
35300 4238 
35400 4283 
35500 4380 
35600 4370 
35700 4457 
35800 4486 
35900 4586 
36000 4592 
36100 4636 
36200 4599 
36300 4659 
36400 4579 
36500 4738 
36600 5043 
36700 5242 
36800 5258 
36900 5334 
37000 5360 
37100 5510 
37200 5554 
37300 5770 
37400 5923 
37500 6108 
37600 6309 
37700 6470 
37800 6823 
37900 7274 
38000 7695 
38100 7928 
38200 8096 
38300 7882 
38400 7659 
38500 7578 
38600 7717 
38700 7614 
38800 7513 
38900 7440 
39000 7604 
39100 7542 
39200 7483 
39300 7531 
39400 7575 
39500 7817 
39600 7800 
39700 7868 
39800 7948 
39900 7935 
40000 7765 
40100 7743 
40200 7768 
40300 7826 
40400 8021 
40500 8381 
40600 8440 
40700 8531 
40800 8373 
40900 8204 
41000 8158 
41100 8357 
41200 8353 
41300 8390 
41400 8241 
41500 8043 
41600 7762 
41700 7675 
41800 7887 
41900 8169 
42000 8308 
42100 8295 
42200 8245 
42300 8355 
42400 8278 
42500 8348 
42600 8581 
42700 8857 
42800 8853 
42900 8715 
43000 8557 
43100 8330 
43200 8344 
43300 8572 
43400 8444 
43500 8448 
43600 8418 
43700 8549 
43800 8358 
43900 8489 
44000 8472 
44100 8656 
44200 8851 
44300 8876 
44400 8896 
44500 8959 
44600 9025 
44700 9038 
44800 9056 
44900 8987 
45000 8925 
45100 8831 
45200 8950 
45300 8967 
45400 8992 
45500 8913 
45600 8836 
45700 8954 
45800 8913 
45900 8996 
46000 9109 
46100 9080 
46200 9064 
46300 8931 
46400 9144 
46500 9016 
46600 9139 
46700 9166 
46800 9038 
46900 9235 
47000 9344 
47100 9410 
47200 9459 
47300 9358 
47400 9219 
47500 9196 
47600 9342 
47700 9406 
47800 9487 
47900 9126 
48000 9043 
48100 8991 
48200 9230 
48300 9527 
48400 9524 
48500 9615 
48600 9265 
48700 9131 
48800 9169 
48900 8976 
49000 8831 
49100 8690 
49200 8816 
49300 8747 
49400 8978 
49500 9046 
49600 9063 
49700 9029 
49800 9006 
49900 8901 
50000 9056 
50100 9032 
50200 9099 
50300 9217 
50400 9479 
50500 9518 
50600 9315 
50700 9089 
50800 9061 
50900 9060 
51000 8824 
51100 8969 
51200 9142 
51300 9177 
51400 9208 
51500 9162 
51600 9212 
51700 9188 
51800 9185 
51900 9460 
52000 9432 
52100 9244 
52200 9140 
52300 9305 
52400 9099 
52500 9148 
52600 9390 
52700 9375 
52800 9085 
52900 8866 
53000 9140 
53100 9521 
53200 9523 
53300 9635 
53400 9517 
53500 9336 
53600 9252 
53700 9370 
53800 9429 
53900 9457 
54000 9616 
54100 9660 
54200 9567 
54300 9550 
54400 9563 
54500 9530 
54600 9504 
54700 9260 
54800 9214 
54900 9207 
55000 9332 
55100 9266 
55200 9380 
55300 9617 
55400 9542 
55500 9353 
55600 9134 
55700 9047 
55800 9013 
55900 9370 
56000 9513 
56100 9599 
56200 9672 
56300 9554 
56400 9370 
56500 9358 
56600 9438 
56700 9519 
56800 9505 
56900 9486 
57000 9674 
57100 9892 
57200 9696 
57300 9589 
57400 9592 
57500 9686 
57600 9852 
57700 9809 
57800 9835 
57900 9588 
58000 9589 
58100 9690 
58200 10003 
58300 9988 
58400 9679 
58500 9473 
58600 9660 
58700 9928 
58800 10230 
58900 10150 
59000 9903 
59100 9665 
59200 9581 
59300 9560 
59400 9677 
59500 9832 
59600 9756 
59700 9564 
59800 9562 
59900 9530 
60000 9610 
60100 9683 
60200 9805 
60300 10003 
60400 9921 
60500 9873 
60600 9823 
60700 9857 
60800 10081 
60900 9866 
61000 9584 
61100 9633 
61200 9847 
61300 9891 
61400 9902 
61500 10099 
61600 9998 
61700 9916 
61800 9747 
61900 9650 
62000 9759 
62100 9797 
62200 9930 
62300 9838 
62400 9720 
62500 9733 
62600 9693 
62700 9475 
62800 9450 
62900 9568 
63000 9766 
63100 9968 
63200 9889 
63300 9697 
63400 9694 
63500 9943 
63600 9998 
63700 9889 
63800 9906 
63900 9798 
64000 9490 
64100 9498 
64200 9776 
64300 10052 
64400 9972 
64500 9970 
64600 10013 
64700 10210 
64800 10187 
64900 10185 
65000 10123 
65100 9985 
65200 9857 
65300 9988 
65400 10015 
65500 10014 
65600 10181 
65700 10205 
65800 10054 
65900 10012 
66000 10170 
66100 10044 
66200 10084 
66300 10096 
66400 10171 
66500 10275 
66600 10575 
66700 10572 
66800 10315 
66900 10215 
67000 10167 
67100 10067 
67200 9964 
67300 9966 
67400 10265 
67500 10496 
67600 10273 
67700 10171 
67800 9963 
67900 9955 
68000 9736 
68100 9890 
68200 9998 
68300 10308 
68400 10519 
68500 10557 
68600 10349 
68700 10243 
68800 10190 
68900 10158 
69000 10368 
69100 10582 
69200 10385 
69300 10573 
69400 10699 
69500 10555 
69600 10342 
69700 10381 
69800 10603 
69900 10528 
70000 10315 
70100 10397 
70200 10599 
70300 10520 
70400 10478 
70500 10536 
70600 10713 
70700 10727 
70800 10860 
70900 10857 
71000 10973 
71100 11024 
71200 11137 
71300 11006 
71400 10672 
71500 10579 
71600 10779 
71700 10838 
71800 11110 
71900 11227 
72000 11230 
72100 11189 
72200 11062 
72300 10823 
72400 10581 
72500 10566 
72600 10787 
72700 10793 
72800 10788 
72900 10589 
73000 10441 
73100 10385 
73200 10422 
73300 10199 
73400 10034 
73500 9859 
73600 9764 
73700 9667 
73800 9503 
73900 9172 
74000 9045 
74100 8835 
74200 8706 
74300 8596 
74400 8330 
74500 8199 
74600 8143 
74700 8003 
74800 7839 
74900 7522 
75000 7338 
