# Avida Host Tasks data
# Wed Aug 26 17:16:46 2020
# First column gives the current update, next columns give the number
# of Hosts that have the particular task
#  1: Update
#  2: Not
#  3: Nand
#  4: And
#  5: OrNot
#  6: Or
#  7: AndNot
#  8: Nor
#  9: Xor
# 10: Equals

0 0 0 0 0 0 0 0 0 0 
100 188 0 0 0 0 0 0 0 0 
200 512 0 0 0 0 0 0 0 0 
300 775 0 0 0 0 0 0 0 0 
400 1553 0 0 0 0 0 0 0 0 
500 2180 0 0 0 0 0 0 0 0 
600 3464 2 0 0 0 0 0 0 0 
700 4961 7 0 0 0 0 0 0 0 
800 5897 8 0 0 0 0 0 0 0 
900 7696 14 0 0 0 0 0 0 0 
1000 9001 17 0 0 0 0 0 0 0 
1100 10591 35 0 0 0 0 0 0 0 
1200 12179 37 0 0 0 0 0 0 0 
1300 13467 34 0 0 0 0 0 0 0 
1400 15214 40 0 0 0 0 0 0 0 
1500 16756 50 3 0 0 0 0 0 0 
1600 18238 55 3 0 0 0 0 0 0 
1700 19722 58 5 0 0 0 0 0 0 
1800 20969 73 4 0 0 0 0 0 0 
1900 22127 89 4 2 0 0 0 0 0 
2000 23253 81 4 2 0 0 0 0 0 
2100 24063 94 4 0 0 0 0 0 0 
2200 24955 101 4 0 0 0 0 0 0 
2300 25665 110 3 0 0 0 0 0 0 
2400 26180 107 2 0 0 0 0 0 0 
2500 26914 116 5 0 0 0 0 0 0 
2600 27204 147 2 0 0 0 0 0 0 
2700 27530 155 6 0 0 0 0 0 0 
2800 27820 144 8 0 0 0 0 0 0 
2900 27928 144 9 0 0 0 0 0 0 
3000 28038 151 8 2 0 0 0 0 0 
3100 28180 174 12 3 0 0 0 0 0 
3200 28258 202 13 6 0 0 0 0 0 
3300 28210 220 17 9 0 0 0 0 0 
3400 28175 240 20 10 0 0 0 0 0 
3500 28091 260 16 12 0 0 0 0 0 
3600 28021 278 24 10 0 0 0 0 0 
3700 27616 296 24 15 0 0 0 0 0 
3800 27292 315 22 19 0 0 0 0 0 
3900 26610 327 26 16 0 0 0 0 0 
4000 25704 380 16 20 0 0 0 0 0 
4100 24672 411 19 23 0 0 0 0 0 
4200 23440 434 16 29 0 0 0 0 0 
4300 22299 478 12 36 0 0 0 0 0 
4400 21088 533 11 45 0 0 0 0 0 
4500 20358 590 9 60 0 0 0 0 0 
4600 20029 681 10 71 0 0 0 0 0 
4700 20000 811 17 87 0 0 0 0 0 
4800 20228 934 18 103 0 0 0 0 0 
4900 20136 1166 23 118 0 0 0 0 0 
5000 19866 1377 21 133 0 0 0 0 0 
5100 19641 1611 24 147 0 0 0 0 0 
5200 19058 1916 24 182 0 1 0 0 0 
5300 18600 2171 24 216 0 1 0 0 0 
5400 18040 2572 32 268 0 0 0 0 0 
5500 17645 2982 36 305 0 0 0 0 0 
5600 17218 3343 41 353 0 0 0 0 0 
5700 16517 3915 59 414 0 0 0 0 0 
5800 16041 4371 66 487 0 0 0 0 0 
5900 15471 4952 89 581 0 0 0 0 0 
6000 14939 5546 93 621 0 0 0 0 0 
6100 14404 6021 117 692 0 2 0 0 0 
6200 13867 6625 136 761 0 2 0 0 0 
6300 13372 7111 145 841 0 3 0 0 0 
6400 12900 7595 186 941 0 1 0 0 0 
6500 12429 8154 214 1031 0 0 0 0 0 
6600 12024 8539 244 1093 0 0 0 0 0 
6700 11661 8961 263 1227 0 0 0 0 0 
6800 11462 9184 289 1291 0 2 0 0 0 
6900 11280 9389 317 1400 0 2 0 0 0 
7000 11006 9537 358 1512 0 4 0 0 0 
7100 10855 9510 377 1668 0 5 0 0 0 
7200 10640 9534 421 1830 0 10 0 0 0 
7300 10469 9329 438 1979 0 13 0 0 0 
7400 10433 9028 505 2161 0 11 0 0 0 
7500 10244 8545 578 2413 0 17 0 0 0 
7600 10326 7967 620 2676 0 20 0 0 0 
7700 10228 7436 691 3016 0 26 0 0 0 
7800 10158 6970 764 3331 0 36 0 0 0 
7900 10041 6381 891 3755 0 35 0 0 0 
8000 9821 5996 1012 4195 0 38 0 0 0 
8100 9526 5620 1113 4652 0 50 0 0 0 
8200 9168 5205 1252 5192 0 53 0 0 0 
8300 8828 4930 1400 5689 0 65 0 0 0 
8400 8553 4616 1503 6184 0 76 0 0 0 
8500 8231 4334 1669 6801 0 79 0 0 0 
8600 7970 3989 1832 7360 2 94 0 0 0 
8700 7724 3760 1978 8010 1 102 0 0 0 
8800 7507 3552 2143 8463 1 119 0 0 0 
8900 7277 3444 2314 8886 0 130 0 0 0 
9000 7126 3308 2476 9181 0 152 0 0 0 
9100 7148 3273 2630 9329 0 169 0 0 0 
9200 7245 3245 2742 9228 0 196 0 0 0 
9300 7227 3252 2907 9152 0 223 0 0 0 
9400 7203 3343 3063 8847 0 219 0 0 0 
9500 7092 3484 3215 8459 0 224 0 0 0 
9600 7276 3624 3403 8012 0 230 0 0 0 
9700 7271 3825 3636 7604 0 235 0 0 0 
9800 7304 3981 3819 7150 0 260 0 0 0 
9900 7314 4105 4075 6570 0 281 0 0 0 
10000 7288 4338 4320 6163 0 300 0 0 0 
10100 7217 4439 4656 5755 0 313 0 0 0 
10200 7164 4509 4938 5456 0 348 0 0 0 
10300 7104 4502 5115 5248 0 371 0 0 0 
10400 7090 4503 5312 5047 0 403 0 0 0 
10500 6939 4557 5453 4942 0 454 0 0 0 
10600 6881 4574 5637 4806 0 497 0 0 0 
10700 6793 4495 5975 4668 0 571 0 0 0 
10800 6809 4464 6114 4616 0 641 0 0 0 
10900 6876 4411 6380 4566 0 725 0 0 0 
11000 6920 4267 6613 4539 2 792 0 0 0 
11100 6977 4201 6740 4517 2 870 0 0 0 
11200 7038 4162 6949 4390 4 912 0 0 0 
11300 7226 4136 7037 4325 5 993 0 0 0 
11400 7287 3842 7168 4310 5 1045 0 0 0 
11500 7229 3661 7402 4333 8 1085 0 0 0 
11600 7253 3529 7432 4348 12 1181 0 0 0 
11700 7215 3387 7540 4345 15 1273 2 0 0 
11800 7150 3253 7628 4388 18 1319 0 0 0 
11900 7020 3207 7749 4373 19 1416 0 0 0 
12000 6791 3302 7826 4421 21 1521 0 0 0 
12100 6698 3275 7863 4368 26 1606 0 0 0 
12200 6605 3293 7990 4356 23 1724 0 0 0 
12300 6628 3255 8188 4351 22 1803 0 0 0 
12400 6637 3211 8192 4433 30 1924 0 0 0 
12500 6539 3260 8072 4488 42 2087 0 0 0 
12600 6491 3319 7983 4662 49 2201 0 0 0 
12700 6519 3266 7823 4781 58 2395 0 0 0 
12800 6588 3256 7810 4868 64 2556 0 0 0 
12900 6654 3159 7726 4850 72 2646 0 0 0 
13000 6710 3045 7587 4843 93 2798 0 0 0 
13100 6714 3011 7483 4800 104 2892 0 0 0 
13200 6743 2869 7395 4849 121 3028 0 0 0 
13300 6761 2879 7270 4789 128 3188 0 0 0 
13400 6879 2843 7173 4842 145 3236 1 0 0 
13500 6864 2797 7184 4783 162 3340 2 0 0 
13600 6929 2798 7154 4614 184 3393 4 0 0 
13700 6861 2890 7216 4507 216 3387 3 0 0 
13800 6809 2878 7300 4427 230 3339 2 0 0 
13900 6770 2818 7388 4387 263 3354 3 0 0 
14000 6834 2827 7370 4343 306 3228 2 0 0 
14100 6826 2689 7252 4321 323 3202 4 0 0 
14200 6904 2635 7219 4380 326 3110 6 0 0 
14300 6845 2563 7055 4509 389 3075 5 0 0 
14400 6815 2399 7024 4518 429 3118 8 0 0 
14500 6724 2272 6765 4611 486 3159 9 0 0 
14600 6718 2235 6523 4712 548 3292 13 0 0 
14700 6562 2242 6433 4678 595 3411 20 0 0 
14800 6320 2163 6248 4715 687 3526 22 0 0 
14900 6158 2035 6167 4721 729 3729 32 0 0 
15000 6103 1901 6028 4732 840 3909 44 0 0 
15100 6059 1839 5839 4729 954 4070 54 0 0 
15200 5988 1820 5616 4802 1045 4268 68 0 0 
15300 5849 1801 5442 4793 1185 4343 75 0 0 
15400 5661 1787 5236 4900 1232 4618 75 0 0 
15500 5398 1792 5127 5017 1373 4830 79 0 0 
15600 5256 1712 5003 4995 1489 5060 82 0 0 
15700 5067 1651 4846 5088 1672 5212 87 0 0 
15800 4853 1611 4828 5196 1879 5265 94 0 0 
15900 4758 1614 4701 5332 2006 5301 103 0 0 
16000 4577 1608 4615 5446 2223 5420 129 0 0 
16100 4357 1560 4452 5603 2438 5397 160 0 0 
16200 4200 1551 4380 5646 2661 5269 197 0 0 
16300 3992 1533 4274 5711 2938 5205 237 0 0 
16400 3861 1523 4198 5821 3219 5148 251 0 0 
16500 3807 1471 4098 5798 3516 5123 287 0 0 
16600 3731 1505 3996 5625 3759 5136 330 0 0 
16700 3650 1432 3868 5467 4093 5156 358 0 0 
16800 3530 1363 3824 5246 4352 5179 410 0 0 
16900 3545 1300 3746 4965 4655 5195 468 0 0 
17000 3515 1260 3774 4804 4972 5103 496 0 0 
