# Wed Aug 26 16:37:12 2020
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 1 0 1 0 0 
2200 1 0 1 0 0 
2300 1 0 1 0 0 
2400 1 0 1 0 0 
2500 1 0 1 0 0 
2600 1 0 1 0 0 
2700 1 0 1 0 0 
2800 1 0 1 0 0 
2900 1 0 1 0 0 
3000 1 0 1 0 0 
3100 2 0.0865542 2 0 0.0108772 
3200 3 0.149083 3 0 0.0213051 
3300 2 0.213227 2 0 0.0338253 
3400 5 0.276036 7 0 0.047292 
3500 5 0.377528 6 0 0.0725818 
3600 4 0.486875 7 0 0.105061 
3700 4 0.596849 8 0 0.14402 
3800 4 0.71505 13 0 0.19445 
3900 3 0.828829 9 0 0.258208 
4000 5 0.924922 10 0 0.33111 
4100 4 0.983904 14 0 0.406202 
4200 5 1.01064 18 0 0.478874 
4300 5 1.01237 15 0 0.541197 
4400 5 1.00507 20 0 0.567012 
4500 6 1.0074 21 9.74659e-05 0.562378 
4600 5 1.00841 15 0 0.541097 
4700 6 1.01203 19 4.91038e-05 0.513849 
4800 6 1.01458 14 0.000147109 0.498112 
4900 6 1.01364 16 0.000195246 0.495778 
5000 6 1.01356 20 0.000145553 0.507011 
5100 7 1.01391 20 0.000193452 0.511003 
5200 7 1.02033 20 0.000292255 0.506235 
5300 7 1.01999 21 0.000442652 0.491393 
5400 7 1.02051 22 0.000591716 0.477761 
5500 7 1.01716 20 0.000790436 0.456328 
5600 7 1.0037 16 0.00039655 0.429712 
5700 7 0.991779 18 0.00044843 0.399402 
5800 6 0.966468 16 0.000347481 0.367784 
5900 6 0.936618 14 0.000295785 0.336258 
6000 6 0.906006 14 0.000438297 0.307441 
6100 7 0.882348 14 0.000723449 0.287692 
6200 6 0.847687 13 0.000428449 0.262163 
6300 5 0.808366 11 0.0003764 0.23892 
6400 5 0.773889 14 0.00032666 0.217276 
6500 4 0.742253 13 0.000642998 0.1974 
6600 4 0.698289 13 0.000453741 0.177322 
6700 4 0.649278 11 0.000358278 0.153298 
6800 5 0.629488 14 0.000265687 0.143648 
6900 5 0.624638 10 0.000348766 0.135539 
7000 5 0.630601 10 0.000344249 0.131073 
7100 5 0.658598 10 0.000586943 0.131798 
7200 7 0.711924 12 0.00112768 0.138621 
7300 7 0.792313 13 0.00161584 0.154624 
7400 7 0.86582 14 0.00290493 0.170644 
7500 7 0.941924 13 0.003451 0.19363 
7600 7 0.996373 13 0.00338261 0.211768 
7700 7 1.04023 12 0.0038675 0.227552 
7800 7 1.07289 10 0.00476778 0.239794 
7900 8 1.07575 11 0.00562089 0.244466 
8000 8 1.09106 15 0.00493773 0.25366 
8100 7 1.11079 13 0.00588243 0.263204 
8200 8 1.12698 18 0.00715661 0.267159 
8300 8 1.13511 18 0.00869173 0.265433 
8400 8 1.11383 16 0.00910267 0.253972 
8500 8 1.10999 13 0.0102241 0.252229 
8600 8 1.11983 17 0.0120388 0.257668 
8700 8 1.13267 15 0.0154824 0.269376 
8800 8 1.12324 15 0.0169518 0.273652 
8900 9 1.11266 19 0.017431 0.276241 
9000 9 1.08749 18 0.0191302 0.266624 
9100 9 1.06278 20 0.0190775 0.254701 
9200 9 1.04781 17 0.0203031 0.24585 
9300 9 1.0235 16 0.0202156 0.23206 
9400 9 0.974761 18 0.0191878 0.212628 
9500 9 0.92761 17 0.0187958 0.194563 
9600 9 0.913563 19 0.0188022 0.188898 
9700 9 0.902853 21 0.0198162 0.185143 
9800 10 0.915806 15 0.0232975 0.18825 
9900 10 0.91257 16 0.0247734 0.187586 
10000 11 0.922504 16 0.0267674 0.188756 
10100 10 0.940141 17 0.0279319 0.192402 
10200 9 0.967964 15 0.0323872 0.199778 
10300 9 0.99306 18 0.0374243 0.207173 
10400 9 0.990033 17 0.0402743 0.206752 
10500 9 0.987764 19 0.0430085 0.205369 
10600 11 0.990735 18 0.0485975 0.209593 
10700 11 1.03135 17 0.0585266 0.224798 
10800 10 1.08431 20 0.0678285 0.243465 
10900 9 1.12272 18 0.0800649 0.263993 
11000 10 1.21832 21 0.096171 0.30067 
11100 11 1.33231 19 0.121881 0.351107 
11200 12 1.42731 21 0.145466 0.395395 
11300 12 1.53542 22 0.169333 0.444317 
11400 14 1.60323 21 0.182471 0.472437 
11500 16 1.67094 23 0.191142 0.493859 
11600 15 1.70353 25 0.197378 0.504594 
11700 17 1.74869 29 0.207996 0.522874 
11800 16 1.77845 28 0.216658 0.536021 
11900 17 1.7626 30 0.215895 0.52898 
12000 18 1.78216 30 0.209688 0.521474 
12100 19 1.83796 35 0.210042 0.529856 
12200 19 1.88181 32 0.215229 0.543417 
12300 20 1.95537 33 0.226383 0.571524 
12400 18 1.9854 34 0.233085 0.586204 
12500 20 1.96665 35 0.23246 0.580622 
12600 16 1.91248 29 0.225268 0.561222 
12700 18 1.87373 33 0.2192 0.54523 
12800 18 1.86266 31 0.212372 0.532986 
12900 18 1.85052 33 0.217951 0.536506 
13000 18 1.84129 30 0.223194 0.539525 
13100 18 1.86741 32 0.237376 0.561894 
13200 19 1.87772 31 0.240068 0.565939 
13300 18 1.87883 34 0.242157 0.568804 
13400 17 1.88168 37 0.249851 0.579001 
13500 19 1.93307 36 0.264825 0.608052 
13600 20 1.9985 33 0.286884 0.650608 
13700 20 1.99897 32 0.298818 0.667566 
13800 19 2.02914 35 0.309911 0.687466 
13900 20 2.03393 39 0.308651 0.685032 
14000 20 2.01747 38 0.297864 0.667479 
14100 17 1.98721 37 0.290904 0.652476 
14200 18 1.98289 32 0.287454 0.645165 
14300 18 2.03052 36 0.300413 0.669233 
14400 19 2.09605 37 0.317002 0.702364 
