64 64 64 64 -1 64 64 -1 64 32 36 36 -1 -1 64 -1 32 32 32 64 
80 64 64 64 64 -1 64 -1 32 -1 36 -1 -1 -1 -1 32 32 32 80 40 
80 64 64 64 64 64 64 -1 32 -1 -1 -1 -1 -1 -1 -1 32 32 32 80 
-1 80 -1 64 80 80 8 81 81 -1 41 -1 -1 -1 -1 32 32 32 -1 80 
80 64 64 8 -1 8 80 81 40 40 -1 40 40 -1 32 40 32 32 -1 -1 
64 64 8 8 8 -1 8 -1 -1 -1 40 8 40 32 32 40 32 64 32 80 
64 64 -1 64 8 -1 8 8 8 8 8 8 -1 40 40 32 32 64 64 64 
64 -1 64 64 8 2 8 8 8 8 8 -1 32 32 32 32 64 64 -1 64 
64 64 -1 -1 -1 -1 80 -1 8 -1 -1 -1 32 32 32 -1 -1 64 64 64 
64 64 64 64 64 64 64 80 -1 -1 64 32 32 32 32 64 64 -1 64 64 
64 64 64 64 64 64 80 80 -1 64 64 32 64 -1 -1 -1 17 64 32 64 
64 64 64 -1 64 -1 -1 -1 64 81 64 32 32 64 64 -1 17 64 64 32 
64 64 -1 -1 64 64 64 -1 64 81 32 32 -1 64 64 17 -1 64 64 64 
-1 -1 64 -1 -1 64 64 64 64 81 -1 -1 32 32 17 64 -1 -1 -1 64 
64 64 -1 64 64 64 64 64 -1 6 6 -1 32 32 32 64 64 -1 -1 -1 
64 -1 -1 64 64 64 64 -1 -1 64 6 6 32 32 80 -1 -1 64 -1 -1 
-1 64 64 64 64 64 -1 -1 64 6 64 64 64 -1 64 64 -1 64 -1 -1 
-1 -1 64 64 64 64 64 64 64 64 -1 6 64 64 64 -1 64 64 64 -1 
32 64 64 64 64 64 -1 64 64 64 -1 -1 64 64 82 64 -1 64 64 -1 
32 64 64 64 64 64 64 64 64 64 -1 -1 82 82 -1 64 64 64 32 32 
2 64 64 80 80 -1 -1 32 32 -1 -1 -1 4 4 64 4 4 -1 80 32 
32 32 64 64 64 64 -1 64 32 -1 -1 -1 4 4 -1 64 88 4 -1 2 
64 64 64 -1 -1 32 80 -1 32 4 -1 64 4 4 -1 64 64 64 -1 2 
72 64 64 -1 -1 -1 -1 -1 4 4 4 -1 88 64 64 64 88 72 -1 2 
-1 40 64 32 32 -1 -1 4 81 4 72 -1 88 64 64 88 88 72 88 88 
64 -1 32 32 32 -1 -1 -1 81 -1 72 88 88 4 64 64 -1 88 88 64 
64 -1 40 32 32 32 -1 36 81 72 72 88 64 4 64 -1 72 72 64 -1 
64 64 32 32 32 81 -1 -1 36 72 72 88 4 4 -1 24 -1 64 64 64 
-1 64 32 -1 80 -1 36 36 36 -1 -1 88 36 36 4 24 32 25 64 64 
64 64 -1 -1 80 -1 -1 36 -1 -1 -1 -1 32 -1 24 40 64 -1 64 -1 
8 64 64 -1 -1 80 6 32 -1 32 -1 -1 32 -1 32 40 64 64 -1 64 
64 -1 -1 -1 -1 -1 1 1 32 32 32 -1 32 32 1 1 64 -1 -1 8 
6 64 64 80 80 -1 80 1 32 32 -1 32 36 32 36 6 -1 64 6 8 
64 64 64 32 80 80 -1 -1 1 -1 32 32 36 36 36 6 6 64 8 6 
32 32 -1 8 80 64 64 1 64 64 64 32 32 36 40 6 6 8 64 64 
64 64 8 80 80 80 64 64 -1 64 64 -1 -1 32 41 6 6 -1 64 -1 
64 64 -1 64 -1 65 80 80 64 64 4 64 -1 -1 4 6 6 64 -1 64 
-1 -1 80 64 80 65 80 -1 64 64 4 64 64 -1 4 -1 64 64 64 -1 
2 2 64 64 80 80 80 6 6 64 64 6 4 4 4 -1 -1 64 64 32 
2 2 64 64 80 80 80 32 6 4 6 4 4 4 4 4 4 -1 32 80 
64 10 32 64 64 32 80 32 32 34 32 80 2 -1 4 34 34 64 -1 64 
36 36 10 -1 32 80 32 32 34 80 80 80 32 6 4 34 -1 64 64 -1 
-1 34 -1 64 64 64 64 64 80 -1 80 32 -1 4 4 6 6 89 -1 -1 
34 34 34 64 -1 64 64 64 -1 -1 40 -1 -1 4 -1 -1 -1 89 -1 -1 
34 34 34 34 64 -1 64 64 -1 -1 40 40 -1 64 64 4 -1 -1 -1 -1 
64 64 -1 10 34 64 -1 32 32 32 40 64 4 4 4 -1 4 -1 64 64 
64 64 34 -1 32 32 64 32 32 32 64 80 -1 4 4 4 4 64 64 64 
64 64 32 32 32 32 32 32 32 64 80 80 64 -1 4 4 64 -1 -1 -1 
-1 64 64 32 32 32 32 32 66 66 66 32 32 4 64 64 4 -1 64 64 
64 64 64 80 -1 -1 64 32 66 64 66 -1 64 64 64 64 64 64 64 64 
64 -1 80 64 -1 64 2 2 -1 64 64 64 64 64 64 64 -1 80 64 64 
-1 2 64 80 64 64 2 2 64 64 64 64 64 -1 64 64 80 80 80 64 
-1 -1 2 64 2 2 2 2 64 -1 64 64 80 64 65 65 64 80 64 64 
-1 2 -1 2 2 2 2 -1 2 64 64 64 64 65 65 64 -1 -1 -1 64 
64 2 2 2 -1 64 64 64 64 64 -1 -1 -1 64 65 64 65 65 65 64 
64 64 2 64 2 64 -1 64 64 64 -1 64 -1 64 -1 65 65 80 65 -1 
64 64 64 2 2 64 64 -1 32 64 64 -1 64 -1 80 65 80 80 -1 64 
64 64 64 64 64 64 64 -1 32 32 64 32 64 80 80 80 6 6 64 64 
64 64 -1 64 64 -1 -1 80 32 64 32 32 6 2 2 80 2 -1 64 64 
-1 64 64 64 64 -1 32 80 -1 32 80 32 32 2 2 34 -1 64 64 64 
80 64 80 64 64 -1 65 34 34 34 66 -1 34 34 34 80 -1 32 -1 80 
64 -1 64 64 64 64 -1 34 34 34 66 34 34 64 -1 34 32 32 49 64 
64 64 80 64 64 64 -1 34 34 -1 34 66 34 42 -1 64 8 32 49 -1 
64 64 1 64 64 64 64 34 34 34 34 34 -1 -1 -1 64 64 8 32 64 
64 64 1 1 64 64 -1 34 34 34 34 -1 -1 -1 64 64 -1 -1 64 64 
64 64 1 1 1 64 -1 1 -1 34 -1 -1 -1 64 64 -1 -1 -1 80 80 
80 -1 80 80 80 80 -1 -1 40 32 40 32 -1 -1 -1 64 -1 64 1 80 
-1 -1 -1 80 80 -1 -1 -1 40 32 32 -1 -1 64 64 64 64 -1 -1 80 
32 -1 32 -1 -1 -1 40 32 32 32 -1 34 -1 64 -1 -1 40 -1 -1 40 
32 32 -1 -1 48 -1 40 32 32 -1 34 -1 -1 4 -1 -1 40 1 1 40 
-1 -1 -1 -1 -1 80 -1 -1 34 34 34 34 -1 -1 4 40 -1 -1 -1 32 
80 -1 -1 -1 80 80 -1 -1 -1 34 -1 36 34 34 34 4 -1 -1 80 -1 
80 -1 80 80 80 -1 -1 -1 64 64 64 34 36 -1 4 -1 -1 -1 80 80 
-1 80 64 80 -1 -1 -1 64 64 -1 34 64 64 64 4 1 1 80 80 -1 
64 64 -1 65 65 6 -1 64 64 64 34 64 64 34 64 4 80 -1 -1 64 
64 64 64 -1 65 6 64 -1 64 34 34 34 34 -1 -1 64 1 1 64 64 
80 64 -1 65 -1 -1 66 66 34 14 34 34 34 -1 34 1 1 64 64 64 
81 81 -1 65 -1 -1 66 -1 66 66 34 64 64 34 -1 34 64 64 64 64 
81 80 -1 -1 -1 -1 -1 64 66 34 66 34 64 34 34 -1 1 -1 -1 64 
64 64 64 -1 -1 -1 -1 65 64 34 34 66 34 34 34 34 64 64 -1 80 
65 65 64 64 64 64 64 -1 64 64 16 -1 65 65 65 64 64 64 65 64 
-1 65 16 64 64 64 -1 16 80 16 16 64 64 64 -1 65 65 64 64 65 
65 64 16 64 64 64 66 -1 16 80 80 64 -1 64 64 64 -1 64 9 -1 
65 65 64 16 16 -1 64 66 80 80 64 32 32 32 32 -1 -1 9 64 65 
64 64 65 66 66 -1 -1 64 80 64 -1 64 32 -1 -1 64 64 64 65 -1 
65 65 -1 64 66 66 -1 80 80 80 64 -1 32 64 -1 -1 -1 64 -1 65 
64 65 64 -1 66 -1 -1 80 80 -1 64 64 64 80 32 32 32 32 5 -1 
65 -1 -1 -1 -1 66 80 -1 -1 -1 64 80 80 80 81 81 -1 32 32 32 
64 -1 -1 -1 -1 -1 80 80 -1 80 -1 -1 80 80 80 -1 -1 64 64 -1 
-1 64 -1 -1 -1 -1 64 -1 64 -1 80 -1 -1 -1 80 -1 64 -1 -1 64 
64 64 -1 -1 -1 -1 64 64 64 64 -1 -1 80 81 81 64 64 64 64 64 
64 64 -1 -1 -1 -1 -1 64 64 64 64 81 80 81 32 64 64 64 -1 -1 
64 64 1 -1 -1 -1 -1 -1 64 -1 64 65 81 -1 64 32 -1 64 64 64 
64 64 64 1 -1 80 80 80 -1 64 65 -1 81 64 80 64 -1 64 64 64 
1 1 64 64 64 64 -1 80 -1 80 -1 -1 -1 -1 64 -1 64 64 32 64 
1 -1 -1 -1 64 -1 -1 80 80 -1 -1 -1 -1 64 -1 64 -1 -1 64 -1 
64 64 -1 -1 64 80 81 81 64 -1 81 -1 64 64 64 64 64 64 64 65 
64 64 -1 64 80 64 64 81 81 81 81 64 64 64 64 64 64 64 -1 17 
64 64 64 -1 64 64 64 64 -1 81 -1 64 64 64 64 64 64 64 65 17 
65 65 64 64 64 64 -1 64 64 64 64 64 64 -1 -1 65 64 64 64 65 
64 64 64 1 32 32 -1 32 32 32 -1 -1 40 40 64 64 -1 64 64 64 
-1 -1 -1 1 -1 32 32 32 32 32 16 40 40 64 -1 64 64 64 64 64 
-1 -1 -1 1 -1 -1 32 32 32 -1 16 -1 64 -1 64 64 64 64 64 64 
64 4 -1 1 32 -1 32 32 64 32 16 64 -1 64 64 64 64 64 64 64 
64 -1 64 -1 -1 32 32 32 32 -1 64 64 -1 -1 -1 -1 64 64 -1 64 
-1 -1 -1 32 32 32 -1 -1 -1 -1 -1 64 -1 64 64 -1 64 64 64 64 
64 -1 32 32 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 80 -1 64 64 64 
64 -1 -1 32 32 -1 -1 -1 64 64 -1 33 -1 -1 -1 -1 80 64 64 64 
32 32 32 32 -1 -1 -1 64 -1 64 33 33 33 -1 80 80 80 64 -1 32 
