# Avida Dominant Parasite Data
# Fri Sep 25 14:32:51 2020
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 0 
2200 0 
2300 0 
2400 0 
2500 0 
2600 0 
2700 0 
2800 0 
2900 0 
3000 0 
3100 276 
3200 494 
3300 622 
3400 737 
3500 916 
3600 1117 
3700 1340 
3800 1610 
3900 2016 
4000 2554 
4100 3110 
4200 3831 
4300 4802 
4400 5946 
4500 7061 
4600 8022 
4700 8940 
4800 9687 
4900 10028 
5000 9937 
5100 9729 
5200 9578 
5300 9444 
5400 9192 
5500 9061 
5600 9223 
5700 9137 
5800 9130 
5900 9103 
6000 8733 
6100 8217 
6200 7739 
6300 7171 
6400 6947 
6500 6662 
6600 6169 
6700 5630 
6800 5109 
6900 4787 
7000 4392 
7100 4090 
7200 3749 
7300 3406 
7400 3245 
7500 3263 
7600 3515 
7700 3771 
7800 3969 
7900 3955 
8000 3872 
8100 3765 
8200 3598 
8300 3524 
8400 3409 
8500 3386 
8600 3476 
8700 3488 
8800 3641 
8900 3915 
9000 4140 
9100 4191 
9200 4144 
9300 4178 
9400 4077 
9500 4063 
9600 4214 
9700 4153 
9800 4169 
9900 4223 
10000 4339 
10100 4570 
10200 4711 
10300 4739 
10400 4736 
10500 4655 
10600 4550 
10700 4496 
10800 4386 
10900 4313 
11000 4119 
11100 3990 
11200 3823 
11300 3713 
11400 3654 
11500 3722 
11600 4016 
11700 4273 
11800 4484 
11900 4485 
12000 4596 
12100 4737 
12200 4723 
12300 4827 
12400 4766 
12500 4816 
12600 4597 
12700 4517 
12800 4451 
12900 4410 
13000 4479 
13100 4252 
13200 4112 
13300 3938 
13400 3694 
13500 3534 
13600 3435 
13700 3426 
13800 3279 
13900 3320 
14000 3377 
14100 3581 
14200 3759 
14300 3765 
14400 3766 
14500 3797 
14600 3794 
14700 3776 
14800 3676 
14900 3684 
15000 3857 
15100 3981 
15200 4186 
15300 4317 
15400 4256 
15500 4100 
15600 3853 
15700 3797 
15800 3772 
15900 3686 
16000 3481 
16100 3190 
16200 2961 
16300 2828 
16400 2812 
16500 2697 
16600 2765 
16700 2771 
16800 2809 
16900 2832 
17000 2839 
17100 2885 
17200 3013 
17300 3243 
17400 3412 
17500 3355 
17600 3260 
17700 3114 
17800 3146 
17900 3204 
18000 3194 
18100 3161 
18200 3185 
18300 3201 
18400 3182 
18500 3263 
18600 3352 
18700 3682 
18800 3950 
18900 4008 
19000 3963 
19100 3902 
19200 3689 
19300 3629 
19400 3601 
19500 3724 
19600 3885 
19700 4009 
19800 4091 
19900 4301 
20000 4636 
20100 4988 
20200 5262 
20300 5481 
20400 5707 
20500 5927 
20600 6023 
20700 6033 
20800 6079 
20900 6143 
21000 6082 
21100 5950 
21200 5912 
21300 5878 
21400 5829 
21500 6021 
21600 6266 
21700 6435 
21800 6483 
21900 6347 
22000 6275 
22100 6217 
22200 6072 
22300 6095 
22400 5802 
22500 5720 
22600 5584 
22700 5443 
22800 5463 
22900 5547 
23000 5932 
23100 5857 
23200 5959 
23300 5950 
23400 6072 
23500 6232 
23600 6327 
23700 6171 
23800 5876 
23900 5674 
24000 5610 
24100 5613 
24200 5643 
24300 5413 
24400 5160 
24500 4986 
24600 5018 
24700 4876 
24800 4650 
24900 4569 
25000 4565 
25100 4379 
25200 4203 
25300 4011 
25400 3939 
25500 3847 
25600 3721 
25700 3619 
25800 3530 
25900 3351 
26000 3110 
26100 2888 
26200 2708 
26300 2488 
26400 2274 
26500 2042 
26600 1911 
26700 1848 
26800 1820 
26900 1677 
27000 1620 
27100 1628 
27200 1628 
27300 1510 
27400 1520 
27500 1551 
27600 1607 
27700 1711 
27800 1766 
27900 1688 
28000 1695 
28100 1669 
28200 1631 
28300 1597 
28400 1613 
28500 1605 
28600 1607 
28700 1476 
28800 1386 
28900 1301 
29000 1255 
29100 1217 
29200 1258 
29300 1158 
29400 1045 
29500 1098 
29600 1148 
29700 1242 
29800 1365 
29900 1422 
30000 1414 
30100 1304 
30200 1198 
30300 1098 
30400 1038 
30500 1129 
30600 1291 
30700 1536 
30800 1682 
30900 1702 
31000 1727 
31100 1747 
31200 1803 
31300 1858 
31400 1941 
31500 1959 
31600 1860 
31700 1753 
31800 1603 
31900 1557 
32000 1504 
32100 1484 
32200 1495 
32300 1430 
32400 1426 
32500 1494 
32600 1557 
32700 1690 
32800 1777 
32900 1765 
33000 1593 
33100 1286 
33200 1179 
33300 1111 
33400 1097 
33500 1007 
33600 900 
33700 810 
33800 728 
33900 728 
34000 729 
34100 712 
34200 706 
34300 664 
34400 646 
34500 670 
34600 736 
34700 761 
34800 724 
34900 751 
35000 797 
35100 819 
35200 935 
35300 997 
35400 1077 
35500 1099 
35600 1136 
35700 976 
35800 866 
35900 789 
36000 769 
36100 766 
36200 754 
36300 749 
36400 746 
36500 764 
36600 829 
36700 988 
36800 1152 
36900 1409 
37000 1594 
37100 1760 
37200 1748 
37300 1707 
37400 1652 
37500 1509 
37600 1302 
37700 1143 
37800 1054 
37900 1117 
38000 1151 
38100 1187 
38200 1167 
38300 1087 
38400 1070 
38500 1031 
38600 1033 
38700 970 
38800 795 
38900 693 
39000 686 
39100 676 
39200 678 
39300 645 
39400 655 
39500 624 
39600 580 
39700 476 
39800 430 
39900 371 
40000 370 
40100 369 
40200 318 
40300 303 
40400 259 
40500 232 
40600 241 
40700 273 
40800 296 
40900 308 
41000 298 
41100 301 
41200 307 
41300 320 
41400 317 
41500 319 
41600 292 
41700 234 
41800 258 
41900 237 
42000 196 
42100 195 
42200 236 
42300 293 
42400 361 
42500 407 
42600 481 
42700 611 
42800 710 
42900 764 
43000 805 
43100 852 
43200 980 
43300 1052 
43400 1104 
43500 1251 
43600 1275 
43700 1413 
43800 1621 
43900 1887 
44000 2045 
44100 2122 
44200 2078 
44300 1993 
44400 1936 
44500 1982 
44600 1866 
44700 1765 
44800 1544 
44900 1323 
45000 1203 
45100 1097 
45200 1035 
45300 1033 
45400 1024 
45500 934 
45600 806 
45700 706 
45800 685 
45900 775 
46000 784 
46100 699 
46200 633 
46300 608 
46400 633 
46500 604 
46600 569 
46700 497 
46800 415 
46900 321 
47000 256 
47100 216 
47200 184 
47300 175 
47400 201 
47500 203 
47600 194 
47700 174 
47800 213 
47900 266 
48000 334 
48100 339 
48200 296 
48300 262 
48400 216 
48500 188 
48600 189 
48700 158 
48800 143 
48900 135 
49000 103 
49100 104 
49200 129 
49300 153 
49400 190 
49500 229 
49600 309 
49700 345 
49800 362 
49900 392 
50000 395 
50100 418 
50200 393 
50300 403 
50400 374 
50500 363 
50600 326 
50700 288 
50800 306 
50900 307 
51000 320 
51100 370 
51200 364 
51300 391 
51400 416 
51500 438 
51600 507 
51700 602 
51800 695 
51900 769 
52000 927 
52100 1079 
52200 1292 
52300 1438 
52400 1590 
52500 1647 
52600 1774 
52700 1787 
52800 1625 
52900 1511 
53000 1473 
53100 1468 
53200 1454 
53300 1558 
53400 1616 
53500 1611 
53600 1570 
53700 1681 
53800 1994 
53900 2392 
54000 2823 
54100 3231 
54200 3677 
54300 4062 
54400 4055 
54500 3913 
54600 3583 
54700 3160 
54800 2630 
54900 2160 
55000 1698 
55100 1313 
55200 1131 
55300 973 
55400 824 
55500 724 
55600 642 
55700 515 
55800 408 
55900 348 
56000 297 
56100 308 
56200 285 
56300 306 
56400 278 
56500 265 
56600 295 
56700 323 
56800 354 
56900 375 
57000 387 
57100 415 
57200 390 
57300 328 
57400 338 
57500 355 
57600 388 
57700 484 
57800 500 
57900 480 
58000 486 
58100 421 
58200 366 
58300 385 
58400 402 
58500 426 
58600 369 
58700 340 
58800 306 
58900 313 
59000 342 
59100 411 
59200 470 
59300 536 
59400 583 
59500 648 
59600 876 
59700 977 
59800 990 
59900 858 
60000 750 
60100 711 
60200 662 
60300 635 
60400 567 
60500 593 
60600 581 
60700 579 
60800 600 
60900 600 
61000 612 
61100 599 
61200 560 
61300 518 
61400 500 
61500 493 
61600 499 
61700 439 
61800 434 
61900 322 
62000 252 
62100 269 
62200 278 
62300 298 
62400 285 
62500 259 
62600 226 
62700 178 
62800 185 
62900 158 
63000 170 
63100 152 
63200 125 
63300 147 
63400 194 
63500 229 
63600 241 
63700 237 
63800 270 
63900 346 
64000 384 
64100 356 
64200 322 
64300 296 
64400 287 
64500 325 
64600 412 
64700 521 
64800 600 
64900 689 
65000 686 
65100 687 
65200 790 
65300 879 
65400 862 
65500 842 
65600 785 
65700 745 
65800 709 
65900 626 
66000 593 
66100 618 
66200 634 
66300 616 
66400 648 
66500 668 
66600 633 
66700 588 
66800 546 
66900 493 
67000 458 
67100 445 
67200 418 
67300 435 
67400 423 
67500 405 
67600 355 
67700 303 
67800 275 
67900 266 
68000 273 
68100 261 
68200 268 
68300 312 
68400 353 
68500 360 
68600 325 
68700 328 
68800 321 
68900 330 
69000 315 
69100 294 
69200 303 
69300 279 
69400 303 
69500 353 
69600 361 
69700 370 
69800 358 
69900 346 
70000 306 
70100 299 
70200 237 
70300 193 
70400 191 
70500 176 
70600 189 
70700 184 
70800 240 
70900 242 
71000 268 
71100 265 
71200 257 
71300 235 
71400 220 
71500 213 
71600 198 
71700 231 
71800 248 
71900 264 
72000 251 
72100 238 
72200 250 
72300 249 
72400 275 
72500 265 
72600 279 
72700 254 
72800 193 
72900 111 
73000 95 
73100 90 
73200 98 
73300 94 
73400 92 
73500 85 
73600 96 
73700 111 
73800 117 
73900 97 
74000 77 
74100 73 
74200 97 
74300 112 
74400 95 
74500 72 
74600 59 
74700 56 
74800 54 
74900 58 
75000 67 
